belgrano;VOL;Rivadero, Marcos;700,000;17
belgrano;VOL;Pintos Álvarez, César;1,900,000;0
belgrano;VOL;Rigoni, Emiliano;1,800,000;86
belgrano;VOL;Pittinari, Lucas;2,700,000;32
belgrano;DEL;Furch, Julio;4,000,000;125
belgrano;DEL;Luján, Nahuel;300,000;0
belgrano;DEL;Pereyra, César;5,500,000;79
belgrano;DEL;Valdemarín, Joel;500,000;0
belgrano;DEL;Soriano, Andrés;1,800,000;0
belgrano;DEL;Figueroa, Tobías;2,100,000;0
belgrano;DEL;Márquez, Fernando;3,300,000;54
belgrano;DEL;Bengston, Jerry;2,000,000;23
defensa-y-justicia;ARQ;Arias, Gabriel;2,500,000;8
defensa-y-justicia;ARQ;Dobboletta, Juan I.;500,000;0
defensa-y-justicia;ARQ;Pellegrino, Fernando;3,400,000;76
defensa-y-justicia;DEF;Casteglione, Carlos;3,500,000;42
defensa-y-justicia;DEF;Maya, Federico;500,000;0
defensa-y-justicia;DEF;Matheu, Carlos;3,300,000;28
defensa-y-justicia;DEF;Benítez, Marcelo;3,000,000;61
defensa-y-justicia;DEF;De Miranda, Pablo;2,600,000;23
defensa-y-justicia;DEF;Vella, Luciano;3,000,000;50
defensa-y-justicia;DEF;Faccioli, Emir;2,700,000;42
defensa-y-justicia;DEF;Yacuzzi, Javier;2,800,000;56
defensa-y-justicia;DEF;Martínez, Damián;1,200,000;59
defensa-y-justicia;DEF;Tejera, Juan;3,100,000;52
defensa-y-justicia;VOL;Yacob, Diego;2,300,000;11
defensa-y-justicia;VOL;Juárez, Axel;2,700,000;3
defensa-y-justicia;VOL;Fioravanti, Leandro;900,000;10
defensa-y-justicia;VOL;Venturi, Diego;1,000,000;0
defensa-y-justicia;VOL;Camacho, Washington;3,600,000;138
defensa-y-justicia;VOL;Bertochi, Nicolás;3,200,000;62
defensa-y-justicia;VOL;Becerra, Leandro;2,500,000;0
defensa-y-justicia;VOL;Barbieri, Mariano;1,000,000;103
defensa-y-justicia;VOL;Tellechea, Emiliano;2,500,000;81
defensa-y-justicia;VOL;Romero, Emiliano;1,300,000;0
defensa-y-justicia;VOL;Leyes, Nery;1,800,000;53
defensa-y-justicia;DEL;Gauto González, M.;300,000;0
defensa-y-justicia;DEL;González, Leandro;3,000,000;30
defensa-y-justicia;DEL;Stefanelli, Nicolás;1,300,000;0
defensa-y-justicia;DEL;Fernández, Nicolás;1,600,000;0
defensa-y-justicia;DEL;Rius, Ciro;2,800,000;97
defensa-y-justicia;DEL;Fernández, Brian;3,600,000;81
defensa-y-justicia;DEL;Rodríguez, Julio C.;2,900,000;51
estudiantes;ARQ;Navarro, Hilario;3,200,000;23
estudiantes;ARQ;Losada, Nahuel;500,000;0
estudiantes;ARQ;Silva, Agustín;2,000,000;71
estudiantes;DEF;Ré, Germán;3,400,000;29
estudiantes;DEF;Schunke, Jonathan;3,600,000;92
estudiantes;DEF;Rosales, Pablo;900,000;45
estudiantes;DEF;Domizzi, Stéfano;300,000;0
estudiantes;DEF;Desábato, Leandro;5,500,000;81
estudiantes;DEF;Presentado, Matías;800,000;24
estudiantes;DEF;Vargas, Luciano;300,000;0
estudiantes;DEF;Goñi, Ernesto;2,500,000;49
estudiantes;DEF;Aguirregaray, Matías;2,600,000;90
estudiantes;DEF;Oliva, Maximiliano;2,000,000;21
estudiantes;VOL;Jara, Leonardo;2,900,000;55
estudiantes;VOL;Martínez, Román;5,300,000;70
estudiantes;VOL;Graciani, Gabriel;4,000,000;29
estudiantes;VOL;Gil Romero, Gastón;3,400,000;48
estudiantes;VOL;Benítez, Leandro;3,500,000;13
estudiantes;VOL;Piergiácomi, Franco;600,000;0
estudiantes;VOL;Prediger, Sebastián;3,400,000;52
estudiantes;VOL;Marchioni, Julián;300,000;0
estudiantes;VOL;Damonte, Israel;2,500,000;26
estudiantes;VOL;Correa, Joaquín;3,300,000;87
estudiantes;VOL;Seijas, Gabriel;300,000;5
estudiantes;VOL;Orihuela, Matías;300,000;6
estudiantes;DEL;Carrillo, Guido;5,300,000;120
estudiantes;DEL;Auzqui, Carlos;2,600,000;53
estudiantes;DEL;Carrasco, Mauricio;2,300,000;17
estudiantes;DEL;Marinucci, Leandro;300,000;0
estudiantes;DEL;Cerutti, Ezequiel;3,500,000;77
estudiantes;DEL;Anselmo, Federico;300,000;0
estudiantes;DEL;Vera, Diego;6,800,000;84
estudiantes;DEL;Olivera, Juan Manuel;2,400,000;0
gimnasia;ARQ;Arias, Alexis;400,000;0
gimnasia;ARQ;Bangardino, Pablo;2,000,000;0
gimnasia;ARQ;Monetti, Fernando;5,400,000;125
gimnasia;ARQ;Bonnin, Yair;300,000;0
gimnasia;DEF;Bonifacio, Ezequiel;900,000;27
gimnasia;DEF;Benítez, Oliver;2,100,000;68
gimnasia;DEF;Quiroga, Juan;2,800,000;36
gimnasia;DEF;Oreja, Facundo;4,000,000;117
gimnasia;DEF;Barsottini, Osvaldo;5,100,000;112
gimnasia;DEF;Coronel, Maximiliano;1,900,000;33
gimnasia;DEF;Licht, Lucas;5,500,000;126
gimnasia;VOL;Lachalde, Ignacio;600,000;4
gimnasia;VOL;Fernández, Ignacio;3,100,000;77
gimnasia;VOL;García, Ariel Matías;2,700,000;0
gimnasia;VOL;Garibaldi, Javier;300,000;0
gimnasia;VOL;Jáuregui, Ignacio;300,000;5
